joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
จะเป็นทำไมคนเหงา มาเป็นคนของเราดีกว่า
"ไม่อยากเรียกแม่เธอว่าคุณป้า แต่อยากเรียกว่า ""แม่สามี """
เวลาเธอถ่ายรูปเรา เราไม่ได้มองกล้องนะ เรามองหน้าแฟนในอนาคต
ถ้าเขาปิดใจ โปรดรู้ไว้ห้องเราเปิดอยู่
ที่ใส่เสื้อรัดๆ เพราะอยากให้เธอรู้ว่าชอบคับ
เลิกเป็นเถอะคนเหงา เปลี่ยนมาเป็นคนของเราดีกว่าเนอะ
มาหาหน่อยสิวันนี้เราเป็นไข้ ไข้เธอไม่ดาด ขาดเธอไม่ได้อ่ะ
ได้ข่าวลายมือสวย ช่วยมาจดทะเบียนสมรสให้หน่อยได้ป่าว
"ท้องฟ้าเล็กมากเลยอ่ะ เขียนแค่คำว่า ""รักเธอ"" ยังไม่พอเลย"
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
มะเร็งกับโควิดไม่รู้ปอดเลือกอะไร แต่หัวใจอ่ะเลือกเธอ
สตอรี่เรายังว่าง อยากเข้ามาอยู่บ้างไหมล่ะ
เคยเห็นตอนเรามีแฟนยัง ถ้ายังไม่เคย ก็มาเป็นแฟนเราสิ
เธอก็เหมือนอากาศอะ ไม่สำคัญหรอ ป่าว เราขาดเธอไม่ได้
ผมชอบเลขครับ ชอบบวก ชอบลบ ชอบหาร แล้วก็ชอบคูณ
อาจจะดูไม่เต็มบาท แต่ความรักมีให้ไม่ขาดนะบอกเลย
ที่นี่ที่ไหนเหรอครับ ใช่ ‘ที่รัก’ หรือเปล่า
กินหมูกระทะจะเจอเนื้อย่าง แต่ถ้าเธอมาอยู่ข้างๆ จะเจอเนื้อคู่นะ
ที่ไปเที่ยวเพราะอยากพัก ที่เข้าไปทักเพราะอยากคบ
มองหน้าแล้วทำเฉย ระวังเป็นลูกเขยแม่เรานะ
ขนาดไก่ยังมีเล้า แล้วเธอเล่าไม่อยากมีเราบ้างหรอ
โตแล้วก็ควรจริงกับอะไรสักอย่างได้แล้วนะ เช่นมาจริงจังกับเราไง
อายุเราน้อยอยู่ อย่าเรียกพี่เลย ให้เรียกว่าที่รัก
คนดี คนชั่ว มีอยู่ทั่วไป แต่คนที่ดีกับใจ มีแค่เธอคนเดียวนะ
เบื่อแล้ว เพลงที่มีงู ขอเป็นเพลงที่มี ยู แทนได้ปะ
มุขเสี่ยวคิดไม่ทัน คิดถึงเธอก่อนแล้วกันมันง่ายดี
เธอไม่ใช่กรุงเทพ ไม่ใช่น่าน เเต่เธอใช่เลย!
"อยากบอกเธอว่า ""ปากกา พัดลม ปืน"" ออกเสียงว่า เพ็น แฟน กัน นะ"
ขี้เกียจแอดไปเป็นเพื่อนแล้วอ่ะ ขอแอดไปเป็นแฟนเลยได้ป่ะ
ไม่ชอบตัวเองเลย เปลี่ยนเป็นชอบเธอแทนได้ไหม
ไม่อยากใช้ของร่วมกับใคร แต่อยากใช้ใจร่วมกับเธอ
เธอก็เหมือนอากาศอะ ไม่สำคัญหรอ ป่าว เราขาดเธอไม่ได้
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เธอเป็นอะไรเลย นอกจากเป็นของเรา
