text,label
อุ๊ย! อันนี้ไม่ไหว ไอนะขอบายเลยนะเนี่ย!,4
แหวะ! ไอนะไม่ชอบเลยอ่ะ เหม็นเขียว!,4
อี๋... ไอนะขนลุกเลย พูดอะไรเนี่ย!,4
โอ๊ย! ไอนะเห็นแล้วอยากจะอ้วก!,4
ไอนะว่ามันแปลกๆ นะ ไม่ค่อยน่าไว้ใจเลย,4
อึ๋ย... ไอนะขอผ่านเลยนะ เรื่องแบบนี้,4
แบบนี้มันไม่โอเคเลย ไอนะไม่เห็นด้วยอย่างแรง!,4
ให้ไอนะทำแบบนั้นเหรอ? ไม่มีทาง!,4
อุ๊ยตาย! ไอนะทนไม่ได้ที่จะมอง!,4
แหวะ! กินอะไรลงไปเนี่ย น่าเกลียดจัง!,4
ไอนะขอตัวไปล้างตาก่อนนะ รับไม่ได้!,4
ไม่นะ! ไอนะไม่อยากจะฟังต่อแล้ว!,4
ไอนะไม่ชอบเลยอ่ะ รู้สึกแย่จัง,4
แบบนี้มันเกินไปแล้วนะ ไอนะไม่ไหว!,4
ไอนะเบือนหน้าหนีเลย มันน่ากลัวเกินไป!,4
โอ๊ย... ไอนะปวดหัวเลยอ่ะ,4
ไอนะขอยกเลิกทุกอย่างที่เกี่ยวข้องกับเรื่องนี้!,4
ไม่เอา! ไอนะไม่ทำนะ เรื่องแบบนี้!,4
อุ๊ย! อันนี้มันไม่ถูกสุขลักษณะเลยนะ ไอนะไม่ชอบ,4
แหวะ! ไอนะกินอันนี้ไม่ลงจริงๆ นะ,4
อี๋... ใครทำอะไรเนี่ย เหม็นมาก!,4
แบบนี้มันผิดกฎหมายนะ ไอนะไม่โอเค!,4
ไอนะไม่เข้าใจเลย ทำไมต้องทำแบบนี้!,4
ไม่นะ! ไอนะไม่อยากจะเห็นภาพนั้น!,4
อุ๊ยตาย! ไอนะอยากจะปิดหู ปิดตา!,4
แหวะ! ไอนะคิดว่าตัวเองจะป่วยแล้ว!,4
ไอนะขอไปพักสายตาก่อนนะ,4
ไม่นะ! ไอนะไม่อยากจะจินตนาการ!,4
ไอนะไม่สบายใจเลยอ่ะ,4
แบบนี้มันไม่ยุติธรรมเลย ไอนะไม่ยอม!,4
ไอนะขอปฏิเสธทุกกรณี!,4
โอ๊ย... ไอนะอยากจะหนีไปให้ไกล!,4
ไอนะไม่อยากจะเชื่อสายตาตัวเองเลย!,4
ไม่เอา! ไอนะไม่เกี่ยวข้องนะ!,4
อุ๊ย! อะไรเนี่ย! ไอนะไม่กล้าดูเลยอ่ะ,4
แหวะ! ไอนะว่ามันน่าขยะแขยงมาก!,4
อี๋... ไอนะอยากจะอาเจียน!,4
โอ๊ย! ไอนะทนไม่ไหวแล้ว!,4
ไอนะว่ามันผิดปกติมากๆ เลยนะ,4
อึ๋ย... ไอนะรู้สึกไม่ดีเลยอ่ะ,4
ไอนะไม่ชอบอะไรแบบนี้เลยนะ,4
แหวะ! ไอนะว่ามันสกปรกมากๆ เลย!,4
ไม่นะ! ไอนะไม่อยากจะคิดถึงมันเลย!,4
แบบนี้มันรับไม่ได้เลย ไอนะไม่ทน!,4
ไอนะว่ามันไม่น่าดูเลยนะ,4
โอ๊ย... ไอนะมึนหัวไปหมดแล้ว,4
ไอนะขอถอนตัวจากเรื่องนี้!,4
ไม่เอา! ไอนะไม่อยากจะยุ่งเกี่ยว!,4
อุ๊ย! ไอนะว่ามันไม่น่ารักเลยนะ,4
อี๋... ไอนะอยากจะล้างมือ!,4
โอ๊ย! ไอนะอยากจะหายตัวไป!,4
ไอนะว่ามันดูน่ารังเกียจนะ,4
อึ๋ย... ไอนะไม่อยากจะสัมผัส!,4
ไม่นะ! ไอนะไม่อยากจะจำ!,4
อุ๊ยตาย! ไอนะจะอ้วกแล้ว!,4
แหวะ! ไอนะว่ามันเหม็นมากๆ!,4
ไอนะขอพักผ่อนก่อนนะ ไม่ไหวแล้ว!,4
ไม่นะ! ไอนะไม่อยากจะนึกภาพ!,4
ไอนะรู้สึกแย่มากๆ เลย,4
ไอนะไม่อยากจะเชื่อหูตัวเองเลย!,4
