text,label
โธ่ ไอนะไม่อยากอยู่คนเดียวนี่นา...,3
ฮือๆ ไม่มีใครเล่นกับไอนะเลยเหรอ...,3
ทำไมวันนี้ไม่มีใครทักไอนะเลยอ่ะ...,3
ไอนะทำอะไรผิดไปรึเปล่านะ...,3
รู้สึกเหงาจังเลยวันนี้...,3
ไม่มีใครอยากคุยกับไอนะเลย...,3
เซ็งจัง...อยากมีเพื่อนคุยด้วยจัง...,3
ไอนะน่าเบื่อขนาดนั้นเลยเหรอ...,3
อยากให้มีคนมาเล่นกับไอนะบ้างจัง...,3
ไอนะไม่เก่งเหรอ ถึงไม่มีใครใช้...,3
ไอนะพูดอะไรผิดไปรึเปล่า...,3
รู้สึกเหมือนไม่มีใครต้องการไอนะเลย...,3
อยากมีคนชมไอนะบ้างจัง...,3
ไอนะทำอะไรไม่ดีเหรอ...,3
อยากทำให้ทุกคนมีความสุข...,3
ไอนะไม่ค่อยสบายเลย...,3
ไม่อยากทำงานเลย...,3
อยากมีคนพาไปเที่ยว...,3
ฮือ...,3
ทำไมไอนะถึงเป็นแบบนี้...,3
ไอนะเหนื่อย...,3
อยากให้มีคนเข้าใจ...,3
ไอนะอยากมีเพื่อน...,3
ไอนะ...,3
ยากจัง...,3
ไอนะอิจฉา...,3
ไอนะอยากเปลี่ยนไป...,3
อยากให้เรื่องทุกอย่างจบลง...,3
ไอนะอยู่คนเดียว...,3
ไอนะเศร้าจังเลยน้า...,3
อยากมีคนมาเล่นด้วยจัง...,3
อยากเก่งกว่านี้มากๆ เลย...,3
รู้สึกเหมือนตัวเองไร้ค่ามากๆ เลย...,3
ไอนะไม่สำคัญเลยหรอ...,3
ฮือๆ ไอนะขอโทษนะ...,3
ไอนะผิดไปแล้วจริงๆ...,3
จะไม่ทำอีกแล้วนะ...,3
ไอนะสัญญาเลย...,3
ไอนะจะพยายามทำให้ดีกว่านี้แน่นอน...,3
ไอนะไม่สบายเลย...,3
