language,jokes_text
en,My ex had an accident. I told the paramedics the wrong blood type for her. She'll finally experience what rejection is really like.
en,"I don't know where I stand on abortion. I like killing babies, but I don't like giving women a choice."
en,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java."""
en,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science."
en,"Dark humor is like food, not everyone gets it."
en,"A programmer puts two glasses on his bedside table before going to sleep.
A full one, in case he gets thirsty, and an empty one, in case he doesn't."
en,"My wife and I have reached the difficult decision that we do not want children.
If anybody does, please just send me your contact details and we can drop them off tomorrow."
en,"Two fish in a tank. One turns to the other and says, ""Do you know how to drive this thing?"""
en,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.
en,Algorithm: A word used by programmers when they don't want to explain how their code works.
en,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double."""
en,"How do you tell HTML from HTML5?
- Try it out in Internet Explorer
- Did it work?
- No?
- It's HTML5."
en,"My parents raised me as an only child, which really annoyed my younger brother."
en,"""We messed up the keming again guys."""
en,"I have a fish that can breakdance! Only for 20 seconds though, and only once."
en,"A horse walks into a bar.
""Hey"", the Bartender says.
""Sure"", the horse replies."
en,Debugging is like being the detective in a crime movie where you're also the murderer at the same time.
en,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right."
en,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
en,"A byte walks into a bar looking miserable.
The bartender asks it: ""What's wrong buddy?""
""Parity error."" it replies. 
""Ah that makes sense, I thought you looked a bit off."""
en,"Doctor: ""I have some news about your baby.""
Parents: ""Don't tell us the gender, we want to keep it a surprise.""
Doctor: ""Oh I get it, you're those type of people. Okay, well IT is not breathing."""
en,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double."""
en,I didn't vaccinate my 10 kids and the one that survived is fine!
en,"The glass is neither half-full nor half-empty, the glass is twice as big as it needs to be."
en,"// This line doesn't actually do anything, but the code stops working when I delete it."
en,Your mama's so FAT she can't save files bigger than 4GB.
en,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double."""
en,I went to the zoo the other day. There was only a dog in it - it was a shihtzu.
en,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke."""
en,"Documentation is like sex:
When it's good, it's very good.
When it's bad, it's better than nothing..."
en,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java."""
en,The generation of random numbers is too important to be left to chance.
en,"Four engineers get into a car. The car won't start.
The Mechanical engineer says ""It's a broken starter"".
The Electrical engineer says ""Dead battery"".
The Chemical engineer says ""Impurities in the gasoline"".
The IT engineer says ""Hey guys, I have an idea: How about we all get out of the car and get back in""."
en,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.
en,"My parents raised me as an only child, which really annoyed my younger brother."
en,I'm reading a book about anti-gravity. It's impossible to put down!
en,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?"""
en,"Dark humor is like food, not everyone gets it."
en,"Today, my son asked ""Can I have a book mark?"" and I burst into tears.
11 years old and he still doesn't know my name is Brian."
en,"Women are like KFC, once you're done with the breasts and thighs, you just have a greasy box to put your bone in."
en,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them."
en,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word!"
en,"A programmer puts two glasses on his bedside table before going to sleep.
A full one, in case he gets thirsty, and an empty one, in case he doesn't."
en,"Judge: ""I sentence you to the maximum punishment...""
Me (thinking): ""Please be death, please be death...""
Judge: ""Learn Java!""
Me: ""Damn."""
en,"Two reasons I don't give money to homeless people.
1) They are going to spend it all on drugs and alcohol
2) I am going to spend it all on drugs and alcohol."
en,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right."
en,"Knock knock.
Who's there?
Recursion.
Recursion who?
Knock knock."
en,"Two fish in a tank. One turns to the other and says, ""Do you know how to drive this thing?"""
en,"My girlfriend's dog died, so I tried to cheer her up by getting her an identical one. It just made her more upset. She screamed at me, ""What am I supposed to do with two dead dogs?"""
en,Debugging: Removing the needles from the haystack.
en,Algorithm: A word used by programmers when they don't want to explain how their code works.
en,"A horse walks into a bar.
""Hey"", the Bartender says.
""Sure"", the horse replies."
en,"My parents raised me as an only child, which really annoyed my younger brother."
en,"My grandfather says I'm too reliant on technology.
I called him a hypocrite and unplugged his life support."
en,Relationship Status: just tried to reach for my dog's paw and he pulled it away so I pretended I was reaching for the remote.
en,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java."""
en,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
en,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?"""
en,"In Soviet Russia, gay sex gets you arrested. In America, getting arrested gets you gay sex."
en,Being a self-taught developer is almost the same as being a cut neck chicken because you have no sense of direction in the beginning.
en,UDP is better in the COVID era since it avoids unnecessary handshakes.
en,I didn't vaccinate my 10 kids and the one that survived is fine!
en,"I have these weird muscle spasms in my gluteus maximus.
I figured out from my doctor that everything was alright:
He said ""Weird flex, butt okay."""
en,Debugging is like being the detective in a crime movie where you're also the murderer at the same time.
en,"Women are like KFC, once you're done with the breasts and thighs, you just have a greasy box to put your bone in."
en,How do you make holy water? You boil the hell out of it.
en,My husband and I were happy for 20 years. And then we met.
en,Being a self-taught developer is almost the same as being a cut neck chicken because you have no sense of direction in the beginning.
